post_code,news_channel,post_text,comment_text,sentiment
1,@g1,"País vive 'momento delicado', e Bolsonaro sabe que fez 'burrice', diz Lula 
glo.bo/3JOfLtE #g1",vcs esto acabando vom outras atraes da tv aberta jumentos,NEUTRO
1,@g1,"País vive 'momento delicado', e Bolsonaro sabe que fez 'burrice', diz Lula 
glo.bo/3JOfLtE #g1",disse lula um sujeito 2x condenado por corrupo ,POSITIVO
2,@g1,"MP rejeita prisão de Ciro Gomes mas defende proibição de contato do político com prefeita de Crateús 
glo.bo/4pgmFrz #g1",vai chegando a eleio e o ciro da massa sai da caverna e comea a aparecer na mdia seja de um jeito bom ou ruim rs,NEGATIVO
3,@g1,"Após fala de porta-voz da Casa Branca sobre 'usar meios militares', Itamaraty condena 'ameaças de uso da força' 
glo.bo/41MUBSK #g1",itamaraty condena ameaas de uso da fora e da,NEGATIVO
3,@g1,"Após fala de porta-voz da Casa Branca sobre 'usar meios militares', Itamaraty condena 'ameaças de uso da força' 
glo.bo/41MUBSK #g1",o trump vai morrer logo esse moribundo,NEGATIVO
3,@g1,"Após fala de porta-voz da Casa Branca sobre 'usar meios militares', Itamaraty condena 'ameaças de uso da força' 
glo.bo/41MUBSK #g1", brazuelanos o porta avies chegou,NEUTRO
3,@g1,"Após fala de porta-voz da Casa Branca sobre 'usar meios militares', Itamaraty condena 'ameaças de uso da força' 
glo.bo/41MUBSK #g1",trump de olho em nossas terras raras e petrleo,NEUTRO
3,@g1,"Após fala de porta-voz da Casa Branca sobre 'usar meios militares', Itamaraty condena 'ameaças de uso da força' 
glo.bo/41MUBSK #g1",isso ataca mais os eua suas antas,NEUTRO
3,@g1,"Após fala de porta-voz da Casa Branca sobre 'usar meios militares', Itamaraty condena 'ameaças de uso da força' 
glo.bo/41MUBSK #g1",mico aceita que di menos,POSITIVO
3,@g1,"Após fala de porta-voz da Casa Branca sobre 'usar meios militares', Itamaraty condena 'ameaças de uso da força' 
glo.bo/41MUBSK #g1", s mandar o ladrao de 9 dedos parar de falar merda que nada acontece,NEGATIVO
3,@g1,"Após fala de porta-voz da Casa Branca sobre 'usar meios militares', Itamaraty condena 'ameaças de uso da força' 
glo.bo/41MUBSK #g1",v tomar no cu trump filho da puta,NEGATIVO
4,@g1,"Suprema Corte dos EUA decide analisar legalidade das tarifas impostas por Trump 
glo.bo/3V9Ppoo #g1",supremo dos eua comunista em 321 kakakaak,POSITIVO
4,@g1,"Suprema Corte dos EUA decide analisar legalidade das tarifas impostas por Trump 
glo.bo/3V9Ppoo #g1",vai d em nada quem manda l ele em tudo,NEUTRO
4,@g1,"Suprema Corte dos EUA decide analisar legalidade das tarifas impostas por Trump 
glo.bo/3V9Ppoo #g1",demorou ,NEUTRO
4,@g1,"Suprema Corte dos EUA decide analisar legalidade das tarifas impostas por Trump 
glo.bo/3V9Ppoo #g1",suprema corte americana t igual a venezuelana,NEGATIVO
4,@g1,"Suprema Corte dos EUA decide analisar legalidade das tarifas impostas por Trump 
glo.bo/3V9Ppoo #g1",fck you trump,NEUTRO
4,@g1,"Suprema Corte dos EUA decide analisar legalidade das tarifas impostas por Trump 
glo.bo/3V9Ppoo #g1",vai da em nada brasil vai toma no cu,NEUTRO
