post_code,news_channel,post_text,comment_text
1,@g1,"'Não é mensagem de um integrante do PCC', 'não é conversa de bar', 'meu querido diário': as frases do voto de Moraes no julgamento da Trama Golpista 
glo.bo/42pbHWX #g1",
2,@g1,"Julgamento da trama golpista: Moraes e Fux apresentam primeira divergência minutos após início da leitura do voto do relator 
glo.bo/42i6Fvn #g1",divergnciaentreseguiraconstituioouoditadormalucoqueinventouaprpria
2,@g1,"Julgamento da trama golpista: Moraes e Fux apresentam primeira divergência minutos após início da leitura do voto do relator 
glo.bo/42i6Fvn #g1",infuxwetrust
2,@g1,"Julgamento da trama golpista: Moraes e Fux apresentam primeira divergência minutos após início da leitura do voto do relator 
glo.bo/42i6Fvn #g1",fuxnoentrarnomritoeleirdivergirnaspreliminares
3,@g1,"Saiba os temas jurídicos apresentados no voto de Moraes 
glo.bo/46eEHlB #g1",resumo
3,@g1,"Saiba os temas jurídicos apresentados no voto de Moraes 
glo.bo/46eEHlB #g1",moraisumvagabundoquevaiserhumilhadoembreveaglobooutraquevaitomarnomeiodorabo301vosefuder
4,@g1,"Moraes diz que Bolsonaro liderou organização criminosa e buscava se manter no poder apesar do resultado das eleições 
glo.bo/47AA9Z2 #g1",moraespicaemjulgamentosagoratprovadodopqeletersidooprimeirocolocadodoconcursodostribunaistudonoslidesdojeitoquerealmentepresenciamosoquefazparecerqueestamosatvoltandonotempoporissoquequemsempreconfrontaeleslevafumo
4,@g1,"Moraes diz que Bolsonaro liderou organização criminosa e buscava se manter no poder apesar do resultado das eleições 
glo.bo/47AA9Z2 #g1",umministromuitofocadoemvinganaesquecequeoverdadeiropoderestemmudarachavedopensamento
4,@g1,"Moraes diz que Bolsonaro liderou organização criminosa e buscava se manter no poder apesar do resultado das eleições 
glo.bo/47AA9Z2 #g1",mascadocrime
4,@g1,"Moraes diz que Bolsonaro liderou organização criminosa e buscava se manter no poder apesar do resultado das eleições 
glo.bo/47AA9Z2 #g1",cadeianessevermemaldito
4,@g1,"Moraes diz que Bolsonaro liderou organização criminosa e buscava se manter no poder apesar do resultado das eleições 
glo.bo/47AA9Z2 #g1",bolsonarobandido
4,@g1,"Moraes diz que Bolsonaro liderou organização criminosa e buscava se manter no poder apesar do resultado das eleições 
glo.bo/47AA9Z2 #g1",serqueagoraalgicadebandidobombandidom0rt0vaivalerparaafamilcia
